मैं समझता हूँ	ᱤᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱮᱫᱟᱹᱧ
मेरे पास पचानवे शब्द हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छियानवे फल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सत्तानवे किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱤᱛᱟᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अट्ठानवे पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास निन्यानवे सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सौ केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
एक, दो, तीन, चार, पाँच, छः, सात, आठ, नौ, दस।	ᱢᱤᱫ, ᱵᱟᱨ, ᱯᱮ, ᱯᱳᱱ, ᱢᱚᱬᱮ, ᱛᱩᱨᱩᱭ, ᱮᱭᱟᱭ, ᱟᱨ, ᱱᱟᱭ, ᱜᱮᱞ।
ग्यारह, बारह, तेरह, चौदह, पंद्रह, सोलह, सत्रह, अट्ठारह, उन्नीस, बीस।	ᱜᱮᱞ ᱢᱤᱫ, ᱜᱮᱞ ᱵᱟᱨ, ᱜᱮᱞ ᱯᱮ, ᱜᱮᱞ ᱯᱳᱱ, ᱜᱮᱞ ᱢᱚᱬᱮ, ᱜᱮᱞ ᱛᱩᱨᱩᱭ, ᱜᱮᱞ ᱮᱭᱟᱭ, ᱜᱮᱞ ᱟᱨ, ᱜᱮᱞ ᱱᱟᱭ, ᱠᱩᱲᱤ।
गिनती: एक।	ᱞᱮᱠᱷᱟ: ᱢᱤᱫ।
गिनती: दो।	ᱞᱮᱠᱷᱟ: ᱵᱟᱨ।
गिनती: तीन।	ᱞᱮᱠᱷᱟ: ᱯᱮ।
गिनती: चार।	ᱞᱮᱠᱷᱟ: ᱯᱳᱱ।
गिनती: पाँच।	ᱞᱮᱠᱷᱟ: ᱢᱚᱬᱮ।
गिनती: छः।	ᱞᱮᱠᱷᱟ: ᱛᱩᱨᱩᱭ।
गिनती: सात।	ᱞᱮᱠᱷᱟ: ᱮᱭᱟᱭ।
गिनती: आठ।	ᱞᱮᱠᱷᱟ: ᱟᱨ।
गिनती: नौ।	ᱞᱮᱠᱷᱟ: ᱱᱟᱭ।
गिनती: दस।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ।
गिनती: ग्यारह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱢᱤᱫ।
गिनती: बारह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱵᱟᱨ।
गिनती: तेरह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱯᱮ।
गिनती: चौदह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱯᱳᱱ।
गिनती: पंद्रह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱢᱚᱬᱮ।
गिनती: सोलह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱛᱩᱨᱩᱭ।
गिनती: सत्रह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱮᱭᱟᱭ।
गिनती: अट्ठारह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱟᱨ।
गिनती: उन्नीस।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱱᱟᱭ।
गिनती: बीस।	ᱞᱮᱠᱷᱟ: ᱠᱩᱲᱤ।
गिनती: तीस।	ᱞᱮᱠᱷᱟ: ᱯᱮ ᱜᱮᱞ।
गिनती: पचास।	ᱞᱮᱠᱷᱟ: ᱢᱚᱬᱮ ᱜᱮᱞ।
गिनती: सौ।	ᱞᱮᱠᱷᱟ: ᱥᱟᱭ।
मेरे पास उनसठ पन्ना हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱠᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अभी उनसठ दिन बचे हैं।	ᱱᱤᱛᱚᱜ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱫᱤᱱ ᱛᱟᱭᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
इस कमरे में उनसठ कुर्सी हैं।	ᱱᱚᱶᱟ ᱚᱲᱟᱜ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास उनसठ पन्ना हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱠᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अभी उनसठ दिन बचे हैं।	ᱱᱤᱛᱚᱜ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱫᱤᱱ ᱛᱟᱭᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
इस कमरे में उनसठ कुर्सी हैं।	ᱱᱚᱶᱟ ᱚᱲᱟᱜ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पचहत्तर पन्ना हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱟᱠᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अभी पचहत्तर दिन बचे हैं।	ᱱᱤᱛᱚᱜ ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱫᱤᱱ ᱛᱟᱭᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
इस कमरे में पचहत्तर कुर्सी हैं।	ᱱᱚᱶᱟ ᱚᱲᱟᱜ ᱨᱮ ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सतहत्तर पन्ना हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱠᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अभी सतहत्तर दिन बचे हैं।	ᱱᱤᱛᱚᱜ ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱫᱤᱱ ᱛᱟᱭᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
इस कमरे में सतहत्तर कुर्सी हैं।	ᱱᱚᱶᱟ ᱚᱲᱟᱜ ᱨᱮ ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
सड़क पर उनसठ गाड़ी हैं।	ᱥᱚᱲᱚᱠ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱜᱟᱹᱲᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
उनसठ बच्चे खेल रहे हैं।	ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱜᱤᱫᱽᱨᱟᱹ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱠᱚ।
मेरे पास उनसठ रुपये हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱯᱟᱹᱲᱯᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
किताब में उनसठ अध्याय हैं।	ᱠᱤᱛᱟᱯ ᱨᱮ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱫᱷᱭᱟᱭ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
सड़क पर उनसठ गाड़ी हैं।	ᱥᱚᱲᱚᱠ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱜᱟᱹᱲᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
उनसठ बच्चे खेल रहे हैं।	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱤᱫᱽᱨᱟᱹ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱠᱚ।
मेरे पास उनसठ रुपये हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱯᱟᱹᱲᱯᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
किताब में उनसठ अध्याय हैं।	ᱠᱤᱛᱟᱯ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱫᱷᱭᱟᱭ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
